"[datetime.datetime(2020, 12, 10, 15, 0, 23, 598794)]",['IDT002'],[True],[23.8]
"[datetime.datetime(2020, 12, 10, 15, 0, 23, 695029)]","['IDT002', 'IDT001']","[True, True]","[23.8, 23.62]"
"[datetime.datetime(2020, 12, 10, 15, 0, 23, 726623)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 940.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 109951)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 940.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 237665)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 940.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 269524)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 927.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 605314)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 927.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 765197)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 927.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 781123)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 961.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 24, 797145)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 961.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 116816)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 961.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 276684)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 939.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 292565)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 939.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 324546)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 939.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 340671)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 939.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 628203)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 939.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 788099)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 25, 803897)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 26, 123778)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 26, 315415)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 26, 634875)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 27, 146490)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 27, 370255)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 27, 657633)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 28, 153061)]","['IDT002', 'IDT001', 'IDL001']","[True, True, True]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 28, 664308)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 28, 951920)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 29, 175762)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 29, 462796)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 29, 670672)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 29, 990135)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 30, 181920)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 30, 501121)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 30, 692948)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 31, 204389)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 31, 699628)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 32, 211438)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 32, 722696)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 33, 218092)]","['IDT002', 'IDT001', 'IDL001']","[True, True, False]","[23.8, 23.62, 1012.0]"
"[datetime.datetime(2020, 12, 10, 15, 0, 33, 729760)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
"[datetime.datetime(2020, 12, 10, 15, 0, 34, 241052)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
"[datetime.datetime(2020, 12, 10, 15, 0, 34, 751961)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
"[datetime.datetime(2020, 12, 10, 15, 0, 35, 279082)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
"[datetime.datetime(2020, 12, 10, 15, 0, 35, 790578)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
"[datetime.datetime(2020, 12, 10, 15, 0, 36, 301636)]","['IDT002', 'IDT001', 'IDL001']","[True, False, False]","[23.8, 23.62, -1000]"
