2020-12-10 14:21:56.315733,['IDT002'],0,[23.61]
2020-12-10 14:21:56.395615,"['IDT002', 'IDT003']",1,"[23.61, 21.78]"
2020-12-10 14:21:56.507546,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 942.0]"
2020-12-10 14:21:56.811239,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 942.0]"
2020-12-10 14:21:56.923158,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 942.0]"
2020-12-10 14:21:57.050765,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 972.0]"
2020-12-10 14:21:57.322501,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 972.0]"
2020-12-10 14:21:57.450272,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 972.0]"
2020-12-10 14:21:57.562136,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 952.0]"
2020-12-10 14:21:57.833909,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 952.0]"
2020-12-10 14:21:57.945891,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 952.0]"
2020-12-10 14:21:58.105568,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 948.0]"
2020-12-10 14:21:58.345387,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 948.0]"
2020-12-10 14:21:58.457355,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 948.0]"
2020-12-10 14:21:58.649173,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 944.0]"
2020-12-10 14:21:58.841146,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 944.0]"
2020-12-10 14:21:58.968804,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 944.0]"
2020-12-10 14:21:59.192496,"['IDT002', 'IDT003', 'IDL001']",2,"[23.61, 21.78, 967.0]"
2020-12-10 14:21:59.352363,"['IDT002', 'IDT003', 'IDL001']",0,"[23.52, 21.78, 967.0]"
2020-12-10 14:21:59.496092,"['IDT002', 'IDT003', 'IDL001']",1,"[23.52, 21.78, 967.0]"
2020-12-10 14:21:59.719783,"['IDT002', 'IDT003', 'IDL001']",2,"[23.52, 21.78, 969.0]"
2020-12-10 14:21:59.863661,"['IDT002', 'IDT003', 'IDL001']",0,"[23.61, 21.78, 969.0]"
2020-12-10 14:22:00.007603,"['IDT002', 'IDT003', 'IDL001']",1,"[23.61, 21.78, 969.0]"
2020-12-10 14:22:00.103541,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",3,"[23.61, 21.78, 969.0, 23.25]"
2020-12-10 14:22:00.279270,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.78, 944.0, 23.25]"
2020-12-10 14:22:00.359192,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.78, 944.0, 23.25]"
2020-12-10 14:22:00.519241,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.78, 944.0, 23.25]"
2020-12-10 14:22:00.870474,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.52, 21.78, 944.0, 23.25]"
2020-12-10 14:22:01.030252,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.52, 21.87, 944.0, 23.25]"
2020-12-10 14:22:01.333711,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.52, 21.87, 943.0, 23.25]"
2020-12-10 14:22:01.381776,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 943.0, 23.25]"
2020-12-10 14:22:01.541455,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 943.0, 23.25]"
2020-12-10 14:22:01.877279,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 958.0, 23.25]"
2020-12-10 14:22:01.892952,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 958.0, 23.25]"
2020-12-10 14:22:01.925403,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 958.0, 23.25]"
2020-12-10 14:22:02.052787,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 958.0, 23.25]"
2020-12-10 14:22:02.388530,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 958.0, 23.25]"
2020-12-10 14:22:02.436735,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:02.564281,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:02.899891,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:03.107537,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:03.395259,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:03.618990,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:03.906687,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:04.146489,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:04.418230,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:04.657936,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:04.913477,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 994.0, 23.25]"
2020-12-10 14:22:05.105545,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 951.0, 23.25]"
2020-12-10 14:22:05.169331,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 951.0, 23.25]"
2020-12-10 14:22:05.425037,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 951.0, 23.25]"
2020-12-10 14:22:05.664685,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 977.0, 23.25]"
2020-12-10 14:22:05.680605,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 977.0, 23.25]"
2020-12-10 14:22:05.936401,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 977.0, 23.25]"
2020-12-10 14:22:06.176287,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",2,"[23.61, 21.87, 967.0, 23.25]"
2020-12-10 14:22:06.208162,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 967.0, 23.25]"
2020-12-10 14:22:06.431911,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 967.0, -1000]"
2020-12-10 14:22:06.719566,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 967.0, -1000]"
2020-12-10 14:22:06.943202,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.61, 21.87, 967.0, -1000]"
2020-12-10 14:22:07.230813,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.61, 21.87, 967.0, -1000]"
2020-12-10 14:22:07.454901,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",0,"[23.52, 21.87, 967.0, -1000]"
2020-12-10 14:22:07.742262,"['IDT002', 'IDT003', 'IDL001', 'IDT001']",1,"[23.52, 21.87, 967.0, -1000]"
