"[datetime.datetime(2020, 12, 10, 14, 35, 44, 985119)]",['IDL001'],[True],[923.0]
"[datetime.datetime(2020, 12, 10, 14, 35, 45, 49178)]","['IDL001', 'IDT002']","[True, True]","[923.0, 23.8]"
"[datetime.datetime(2020, 12, 10, 14, 35, 45, 290106)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[923.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 45, 561357)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[923.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 40285)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[952.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 71848)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[952.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 328014)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[952.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 551054)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1007.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 582667)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1007.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 598665)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1007.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 46, 854907)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1007.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 78842)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1007.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 110678)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[929.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 398096)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[929.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 588983)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[929.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 637169)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 47, 909704)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 100949)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 164856)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 452694)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 612497)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[977.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 708029)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 48, 980496)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 49, 107868)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 49, 507179)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 49, 619143)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 50, 34857)]","['IDL001', 'IDT002', 'IDT001']","[False, False, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 50, 130658)]","['IDL001', 'IDT002', 'IDT001']","[False, True, True]","[940.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 50, 321612)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[971.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 50, 625813)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[971.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 50, 849435)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[999.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 88981)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[999.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 136688)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[999.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 376260)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[972.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 632351)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[972.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 663927)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[972.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 51, 887345)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 159788)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 175819)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 191243)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 222661)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 238812)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 382576)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[937.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 670939)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[937.0, 23.8, 23.44]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 686253)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[937.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 52, 894063)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[975.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 53, 181746)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[975.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 53, 405595)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[928.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 53, 677518)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[928.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 53, 741327)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[928.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 53, 932599)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[935.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 54, 188532)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[935.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 54, 475541)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[954.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 54, 699715)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[954.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 54, 811809)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[954.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 54, 986640)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 55, 195350)]","['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 55, 338694)]","['IDL001', 'IDT002', 'IDT001']","[False, True, True]","[973.0, 23.8, 23.53]"
