"[datetime.datetime(2020, 12, 10, 14, 35, 44, 985119)]",['IDL001'],[True],[923.0]
"[datetime.datetime(2020, 12, 10, 14, 35, 55, 530060)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[945.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 55, 706426)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[945.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 55, 865977)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[945.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 56, 57897)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1006.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 56, 217989)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1006.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 56, 601431)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[938.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 56, 728757)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[938.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 57, 128388)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[974.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 57, 223932)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[974.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 57, 623996)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[933.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 57, 735925)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[933.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 58, 167217)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 58, 247229)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 58, 710674)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 58, 742174)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 62398)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 237528)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 269144)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 589118)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[940.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 749471)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 35, 59, 765057)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 0, 260740)]","['IDL001', 'IDT002', 'IDT001']","[True, False, False]","[932.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 0, 276856)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[932.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 0, 292774)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[932.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 0, 771840)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[932.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 0, 803451)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1003.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 1, 283148)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1003.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 1, 330766)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[946.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 1, 794741)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[946.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 2, 306114)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[946.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 2, 769668)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[946.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 2, 800839)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[946.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 2, 945779)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 3, 296870)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 3, 328225)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 3, 840165)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 3, 855698)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 3, 999775)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[964.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 4, 367410)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[964.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 4, 398561)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[964.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 4, 542837)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[928.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 4, 878536)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[928.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 5, 86242)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 5, 422068)]","['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[968.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 5, 613269)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[947.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 5, 916782)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[947.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 5, 948795)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[947.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 6, 156818)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[937.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 6, 428792)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[937.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 6, 684320)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 6, 939123)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 7, 212030)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 7, 435246)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[973.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 7, 754899)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 7, 947099)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 8, 265804)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[933.0, 23.89, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 8, 457610)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[933.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 8, 776981)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1002.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 8, 984469)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1002.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 9, 304504)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 9, 480085)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[934.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 9, 832588)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 9, 992020)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[968.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 10, 359238)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[993.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 10, 503739)]","['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[993.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 10, 727026)]","['IDL001', 'IDT002', 'IDT001']","[False, True, True]","[993.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 10, 870419)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[925.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 11, 14234)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[925.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 11, 254553)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[925.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 11, 381758)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[927.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 11, 510272)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[927.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 11, 877318)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[935.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 12, 21400)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[935.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 12, 388722)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[952.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 12, 532737)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[952.0, 23.7, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 12, 900188)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[966.0, 23.7, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 13, 26847)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 13, 426966)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[979.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 13, 538326)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[979.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 13, 922033)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[929.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 14, 49412)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[929.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 14, 449353)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 14, 544851)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[963.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 14, 960863)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[941.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 15, 71832)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[941.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 15, 471234)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[926.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 15, 567126)]","['IDL001', 'IDT002', 'IDT001']","[False, True, False]","[926.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 15, 966310)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[924.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 16, 78912)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[924.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 16, 478447)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[998.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 16, 589428)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[998.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 17, 5704)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 17, 100732)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[931.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 17, 516560)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[950.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 17, 596058)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[950.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 18, 28101)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[958.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 18, 124033)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[958.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 18, 538897)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[933.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 18, 635155)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[933.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 50713)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1008.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 129804)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[1008.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 209944)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[1008.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 578246)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[943.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 641467)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[943.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 19, 722149)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[943.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 20, 153416)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[943.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 20, 248902)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[943.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 20, 616816)]","['IDL001', 'IDT002', 'IDT001']","[True, False, False]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 20, 648913)]","['IDL001', 'IDT002', 'IDT001']","[True, True, False]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 20, 776039)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 21, 127393)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 21, 159198)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[966.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 21, 639326)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[936.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 21, 671939)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[936.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 22, 149413)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[969.0, 23.8, 23.53]"
"[datetime.datetime(2020, 12, 10, 14, 36, 22, 181479)]","['IDL001', 'IDT002', 'IDT001']","[True, True, True]","[969.0, 23.8, 23.53]"
