"[datetime.datetime(2020, 12, 14, 14, 12, 14, 602563)]",['IDL002'],[True],[959.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 15, 114815)]",['IDL002'],[True],[967.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 15, 625976)]",['IDL002'],[True],[960.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 16, 122576)]",['IDL002'],[True],[972.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 16, 635001)]",['IDL002'],[True],[995.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 17, 147081)]",['IDL002'],[True],[960.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 17, 643054)]",['IDL002'],[True],[1004.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 18, 155230)]",['IDL002'],[True],[956.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 18, 667296)]",['IDL002'],[True],[972.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 19, 178973)]",['IDL002'],[True],[960.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 19, 675903)]",['IDL002'],[True],[972.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 20, 188029)]",['IDL002'],[True],[955.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 20, 700173)]",['IDL002'],[True],[955.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 21, 196207)]",['IDL002'],[True],[960.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 21, 708486)]",['IDL002'],[True],[1009.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 22, 220566)]",['IDL002'],[True],[953.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 22, 716675)]",['IDL002'],[True],[955.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 23, 229052)]",['IDL002'],[True],[1003.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 23, 741057)]",['IDL002'],[True],[958.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 24, 237215)]",['IDL002'],[True],[955.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 24, 749451)]",['IDL002'],[True],[960.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 25, 261389)]",['IDL002'],[True],[962.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 25, 757633)]",['IDL002'],[True],[985.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 26, 269919)]",['IDL002'],[True],[961.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 26, 781924)]",['IDL002'],[True],[955.0]
"[datetime.datetime(2020, 12, 14, 14, 12, 27, 117930)]","['IDL002', 'IDL003']","[True, True]","[955.0, 1009.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 27, 277951)]","['IDL002', 'IDL003']","[True, True]","[964.0, 1009.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 27, 614505)]","['IDL002', 'IDL003']","[True, True]","[964.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 27, 790722)]","['IDL002', 'IDL003']","[True, True]","[963.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 28, 302660)]","['IDL002', 'IDL003']","[True, True]","[969.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 28, 814341)]","['IDL002', 'IDL003']","[True, True]","[960.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 29, 310996)]","['IDL002', 'IDL003']","[True, True]","[960.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 29, 822924)]","['IDL002', 'IDL003']","[True, False]","[999.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 30, 335308)]","['IDL002', 'IDL003']","[True, False]","[976.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 30, 831432)]","['IDL002', 'IDL003']","[True, False]","[994.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 31, 343406)]","['IDL002', 'IDL003']","[True, False]","[955.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 31, 855525)]","['IDL002', 'IDL003']","[True, False]","[963.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 32, 351683)]","['IDL002', 'IDL003']","[True, False]","[984.0, 986.0]"
"[datetime.datetime(2020, 12, 14, 14, 12, 32, 863127)]","['IDL002', 'IDL003']","[True, False]","[962.0, 986.0]"
