2020-12-07 11:12:11.413823,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:11.749845,"[21.6, 21.16, 984.0]"
2020-12-07 11:12:11.861394,"[21.6, 21.16, 984.0]"
2020-12-07 11:12:11.925015,"[21.6, 21.16, 984.0]"
2020-12-07 11:12:12.261117,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:12.356593,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:12.420832,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:12.772155,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:12.868155,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:12.932172,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:13.267657,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:13.363552,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:13.443375,"[21.6, 21.16, 982.0]"
2020-12-07 11:12:13.778986,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:13.858510,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:13.954286,"[21.6, 21.16, 983.0]"
2020-12-07 11:12:14.290313,"[21.6, 21.16, 986.0]"
2020-12-07 11:12:14.370182,"[21.6, 21.16, 986.0]"
2020-12-07 11:12:14.498086,"[21.6, 21.16, 986.0]"
2020-12-07 11:12:14.801273,"[21.6, 21.16, 984.0]"
2020-12-07 11:12:14.865415,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:14.993492,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:15.313060,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:15.361006,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:15.504274,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:15.824157,"[21.6, 21.07, 982.0]"
2020-12-07 11:12:15.872013,"[21.6, 21.07, 982.0]"
2020-12-07 11:12:16.047637,"[21.6, 21.07, 982.0]"
2020-12-07 11:12:16.319587,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:16.367134,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:16.575177,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:16.830996,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:16.862449,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:17.102488,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:17.342150,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:17.358197,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:17.629748,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:17.853648,"[21.6, 21.07, 983.0]"
2020-12-07 11:12:17.869662,"[21.6, 21.07, 983.0]"
2020-12-07 11:12:18.141292,"[21.6, 21.07, 983.0]"
2020-12-07 11:12:18.365007,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:18.380805,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:18.652871,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:18.860047,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:19.164326,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:19.403676,"[21.6, 21.07, 984.0]"
2020-12-07 11:12:19.419747,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:19.675412,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:19.899000,"[21.6, 21.07, 981.0]"
2020-12-07 11:12:19.915048,"[21.6, 21.07, 982.0]"
2020-12-07 11:12:20.170884,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:20.394387,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:20.426254,"[21.51, 21.07, 984.0]"
2020-12-07 11:12:20.697634,"[21.51, 21.07, 984.0]"
2020-12-07 11:12:20.889433,"[21.51, 21.07, 984.0]"
2020-12-07 11:12:20.937448,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:21.209450,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:21.401119,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:21.432933,"[21.51, 21.07, 981.0]"
2020-12-07 11:12:21.737514,"[21.51, 21.07, 981.0]"
2020-12-07 11:12:21.896491,"[21.51, 21.07, 981.0]"
2020-12-07 11:12:21.944133,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:22.264138,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:22.391891,"[21.51, 21.07, 982.0]"
2020-12-07 11:12:22.455607,"[21.51, 21.07, 985.0]"
2020-12-07 11:12:22.775452,"[21.51, 21.07, 985.0]"
