2020-12-10 14:21:27.536055,['IDT003'],0,[21.33]
2020-12-10 14:21:27.791607,"['IDT003', 'IDT002']",1,"[21.33, 23.52]"
2020-12-10 14:21:27.807451,"['IDT003', 'IDT002', 'IDL001']",2,"[21.33, 23.52, 941.0]"
2020-12-10 14:21:28.047177,"['IDT003', 'IDT002', 'IDL001']",0,"[21.33, 23.52, 941.0]"
2020-12-10 14:21:28.303185,"['IDT003', 'IDT002', 'IDL001']",1,"[21.33, 23.52, 941.0]"
2020-12-10 14:21:28.558600,"['IDT003', 'IDT002', 'IDL001']",0,"[21.33, 23.52, 941.0]"
2020-12-10 14:21:28.798328,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",3,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:28.814134,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:28.846195,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",3,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:28.862170,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:28.878180,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",3,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.085884,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.309752,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.341902,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",3,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.629219,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.821022,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:29.852909,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",3,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:30.172601,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:30.332487,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:30.700235,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:30.844121,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:31.243341,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:31.355235,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 941.0, 23.25]"
2020-12-10 14:21:31.562887,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",2,"[21.33, 23.52, 952.0, 23.25]"
2020-12-10 14:21:31.770567,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 952.0, 23.25]"
2020-12-10 14:21:31.866722,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 952.0, 23.25]"
2020-12-10 14:21:32.090369,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",2,"[21.33, 23.52, 994.0, 23.25]"
2020-12-10 14:21:32.282134,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.33, 23.52, 994.0, 23.25]"
2020-12-10 14:21:32.362180,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.33, 23.52, 994.0, 23.25]"
2020-12-10 14:21:32.601682,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",2,"[21.33, 23.52, 939.0, 23.25]"
2020-12-10 14:21:32.793375,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.42, 23.52, 939.0, 23.25]"
2020-12-10 14:21:32.873541,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.42, 23.61, 939.0, 23.25]"
2020-12-10 14:21:33.145200,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",2,"[21.42, 23.61, 939.0, 23.25]"
2020-12-10 14:21:33.305136,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.42, 23.61, 939.0, 23.25]"
2020-12-10 14:21:33.384950,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",1,"[21.42, 23.61, 939.0, 23.25]"
2020-12-10 14:21:33.832443,"['IDT003', 'IDT002', 'IDL001', 'IDT001']",0,"[21.42, 23.61, 939.0, 23.25]"
