1607302388.085976,23.43
1607302388.629544,23.43
1607302389.172243,23.34
1607302389.699506,23.34
1607302389.747358,23.34
1607302390.242364,23.34
1607302390.29048,23.34
1607302390.785821,23.34
1607302391.313007,23.34
1607302391.856764,23.34
1607302392.399242,23.34
1607302392.910826,23.34
1607302393.438286,23.34
1607302393.980762,23.34
1607302394.507892,23.34
1607302395.051057,23.34
1607302395.562218,23.34
1607302396.073974,23.34
1607302396.584349,23.34
1607302397.079961,23.34
1607302397.591337,23.34
1607302398.102531,23.34
1607302398.613726,23.34
1607302399.12462,23.34
1607302399.63597,23.34
1607302400.146968,23.34
1607302400.674125,23.34
1607302401.185577,23.34
1607302401.696871,23.34
1607302402.207702,23.34
1607302402.703241,23.34
1607302402.735438,23.43
1607302402.751571,23.34
1607302403.230329,23.34
1607302403.246588,23.34
1607302403.263138,23.34
1607302403.278209,23.34
1607302403.741867,23.34
1607302404.252995,23.34
1607302404.269526,23.34
1607302404.68429,23.34
1607302405.19766,23.34
1607302405.214782,23.34
1607302405.64294,23.34
1607302405.674758,23.34
1607302405.690937,23.34
1607302405.706711,23.34
